Compound,Negative,Neutral,Positive,Tweet Date,Tweets Ago,User
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:41:51 +0000 2018,63,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:41:51 +0000 2018,64,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:41:47 +0000 2018,65,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:41:44 +0000 2018,66,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:41:43 +0000 2018,67,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:41:39 +0000 2018,68,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:41:38 +0000 2018,69,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:41:37 +0000 2018,70,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:41:36 +0000 2018,71,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:41:35 +0000 2018,72,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:41:32 +0000 2018,73,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:41:30 +0000 2018,74,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:41:30 +0000 2018,75,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:41:29 +0000 2018,76,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:41:26 +0000 2018,77,@BBCBreaking
-0.5267,0.745,0.188,0.067,Mon Sep 17 22:41:25 +0000 2018,78,@BBCBreaking
0.0772,0.83,0.079,0.092,Mon Sep 17 22:41:19 +0000 2018,79,@BBCBreaking
-0.5574,0.847,0.153,0.0,Mon Sep 17 22:39:47 +0000 2018,80,@BBCBreaking
0.4184,0.824,0.0,0.176,Mon Sep 17 22:38:22 +0000 2018,81,@BBCBreaking
-0.5574,0.847,0.153,0.0,Mon Sep 17 22:38:07 +0000 2018,82,@BBCBreaking
-0.5574,0.847,0.153,0.0,Mon Sep 17 22:36:48 +0000 2018,83,@BBCBreaking
0.0772,0.83,0.079,0.092,Mon Sep 17 22:34:49 +0000 2018,84,@BBCBreaking
0.4404,0.888,0.0,0.112,Mon Sep 17 22:33:19 +0000 2018,85,@BBCBreaking
0.4404,0.873,0.0,0.127,Mon Sep 17 22:33:10 +0000 2018,86,@BBCBreaking
-0.5574,0.847,0.153,0.0,Mon Sep 17 22:32:53 +0000 2018,87,@BBCBreaking
